"","...1","...2","duration..ms.","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","spec_rate","labels"
"86",90565,0.493664,0.07673844,0.5257836,0.68,0.8120732,0.1367876,0.685743,0.000907,0.0998,0.4241206,0.6774196,0.007819325,1
"87",60789,0.3358291,0.05316612,0.8533873,0.701,0.8252783,0.03336788,0.3554217,0,0.409,0.7547739,0.5252204,0.002724489,1
"88",52515,0.3018537,0.05951321,0.7593529,0.604,0.8472296,0.3523316,0.1686747,0,0.111,0.601005,0.3391101,0.02579301,1
"89",128103,0.6786167,0.0450764,0.793731,0.602,0.825668,0.05564767,0.1335341,0.00024,0.109,0.7437186,0.4998411,0.005326675,1
"90",28193,0.1674162,0.08586645,0.8078868,0.622,0.7535936,0.03647668,0.186747,4.26e-05,0.114,0.719598,0.5462151,0.001868203,1
"91",50698,0.2940605,0.04239142,0.5581395,0.734,0.8136946,0.0319171,0.01335341,0,0.112,0.2623116,0.4023952,0.003240505,1
"92",175742,0.9319807,0.02843455,0.4802831,0.821,0.811777,0.03896373,0.0004618474,0.947,0.0745,0.8613065,0.7373877,0.005778182,1
"93",103233,0.558697,0.07338694,0.6905966,0.652,0.7654111,0.06072539,0.1295181,1.35e-05,0.313,0.8190955,0.4716999,0.003625909,1
"94",109806,0.5875345,0.06266423,0.892821,0.808,0.88619,0.188601,0.0314257,0,0.207,0.8100503,0.5041536,0.01313264,1
"95",21835,0.1282885,0.1214475,0.2709808,0.371,0.7350878,0.0319171,0.7951807,0.19,0.0588,0.1276382,0.4544076,0.001163,0
"96",56260,0.3182567,0.03942642,0.6390293,0.567,0.7775093,0.4093264,0.3022088,0,0.423,0.6914573,0.3085669,0.04454261,1
"97",84964,0.4675861,0.04269228,0.5166835,0.552,0.811091,0.04290155,0.996988,0.618,0.0763,0.8331658,0.5300666,0.004326332,0
"98",32836,0.186122,0.05395193,0.6703741,0.269,0.6763431,0.04217617,0.6425703,0.00162,0.0751,0.3527638,0.3151119,0.003395205,0
"99",20589,0.1215963,0.08428705,0.6956522,0.243,0.6636525,0.07896373,0.9267068,0.00448,0.1,0.9668342,0.4741315,0.004118377,0
"100",184106,0.9747028,0.0305762,0.6845298,0.413,0.7433351,0.07284974,0.8674699,0,0.511,0.879397,0.5861882,0.01009015,0
"101",160076,0.8464107,0.05804142,0.7098079,0.349,0.8108104,0.03896373,0.1827309,1.79e-06,0.172,0.3577889,0.364214,0.002922482,0
"102",15262,0.09015385,0.07241538,0.6491405,0.759,0.7595335,0.03326425,0.02801205,0.0422,0.0623,0.9708543,0.7110807,0.002012185,1
"103",152669,0.8106255,0.1309498,0.4984833,0.901,0.8529824,0.07471503,0.4106426,0,0.695,0.4180905,0.3572666,0.002527697,0
